tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
669,6/1/2016 0:00,6/1/2016 0:11,3186,Grove St PATH,40.71958612,-74.04311746,3190,Garfield Ave Station,40.71046702,-74.0700388,24486,Subscriber,1988,1
945,6/1/2016 0:14,6/1/2016 0:30,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24482,Subscriber,1981,2
334,6/1/2016 0:34,6/1/2016 0:40,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24391,Subscriber,1982,1
473,6/1/2016 0:40,6/1/2016 0:48,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,24626,Subscriber,1983,1
551,6/1/2016 0:50,6/1/2016 0:59,3220,5 Corners Library,40.73496102,-74.05950308,3197,North St,40.752559,-74.044725,24405,Subscriber,1987,1
115,6/1/2016 1:07,6/1/2016 1:09,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24491,Subscriber,1981,1
273,6/1/2016 1:32,6/1/2016 1:37,3206,Hilltop,40.7311689,-74.0575736,3212,Christ Hospital,40.73478582,-74.05044364,24530,Subscriber,1991,1
1060,6/1/2016 1:47,6/1/2016 2:05,3194,McGinley Square,40.72533993,-74.06762213,3211,Newark Ave,40.72152515,-74.04630454,24663,Subscriber,1987,1
522,6/1/2016 2:08,6/1/2016 2:17,3211,Newark Ave,40.72152515,-74.04630454,3194,McGinley Square,40.72533993,-74.06762213,24663,Subscriber,1987,1
156,6/1/2016 5:18,6/1/2016 5:21,3207,Oakland Ave,40.7376037,-74.0524783,3212,Christ Hospital,40.73478582,-74.05044364,24520,Subscriber,1984,2
461,6/1/2016 5:21,6/1/2016 5:29,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24576,Subscriber,1967,1
744,6/1/2016 5:24,6/1/2016 5:36,3212,Christ Hospital,40.73478582,-74.05044364,3185,City Hall,40.7177325,-74.043845,24629,Subscriber,1984,2
258,6/1/2016 5:46,6/1/2016 5:50,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24456,Subscriber,1980,1
6982,6/1/2016 5:46,6/1/2016 7:42,3190,Garfield Ave Station,40.71046702,-74.0700388,3203,Hamilton Park,40.72759597,-74.04424731,24603,Customer,,0
613,6/1/2016 5:51,6/1/2016 6:01,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,24659,Subscriber,1960,1
364,6/1/2016 5:55,6/1/2016 6:01,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24512,Subscriber,1973,2
312,6/1/2016 6:01,6/1/2016 6:06,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24475,Subscriber,1987,1
220,6/1/2016 6:06,6/1/2016 6:09,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24391,Subscriber,1989,2
262,6/1/2016 6:08,6/1/2016 6:12,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24713,Subscriber,1977,1
325,6/1/2016 6:08,6/1/2016 6:14,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24522,Subscriber,1958,1
216,6/1/2016 6:09,6/1/2016 6:13,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24684,Subscriber,1970,1
226,6/1/2016 6:11,6/1/2016 6:15,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24627,Subscriber,1979,1
152,6/1/2016 6:13,6/1/2016 6:15,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24421,Subscriber,1973,1
156,6/1/2016 6:15,6/1/2016 6:18,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24388,Subscriber,1974,1
165,6/1/2016 6:16,6/1/2016 6:19,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24706,Subscriber,1986,1
236,6/1/2016 6:19,6/1/2016 6:23,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24575,Subscriber,1981,1
368,6/1/2016 6:25,6/1/2016 6:31,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24403,Subscriber,1976,1
481,6/1/2016 6:26,6/1/2016 6:34,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24632,Subscriber,1979,1
169,6/1/2016 6:36,6/1/2016 6:39,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24578,Subscriber,1977,2
809,6/1/2016 6:36,6/1/2016 6:50,3217,Bayside Park,40.69865054,-74.08207968,3186,Grove St PATH,40.71958612,-74.04311746,24412,Subscriber,1977,1
654,6/1/2016 6:37,6/1/2016 6:48,3210,Pershing Field,40.74267714,-74.05178863,3203,Hamilton Park,40.72759597,-74.04424731,24471,Subscriber,1964,2
504,6/1/2016 6:38,6/1/2016 6:46,3192,Liberty Light Rail,40.7112423,-74.0557013,3211,Newark Ave,40.72152515,-74.04630454,24675,Subscriber,1980,2
569,6/1/2016 6:42,6/1/2016 6:52,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24702,Subscriber,1986,1
506,6/1/2016 6:45,6/1/2016 6:53,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,24494,Subscriber,1993,0
95,6/1/2016 6:47,6/1/2016 6:48,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24388,Subscriber,1966,1
260,6/1/2016 6:49,6/1/2016 6:53,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24409,Subscriber,1984,2
252,6/1/2016 6:50,6/1/2016 6:54,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24552,Subscriber,1954,1
302,6/1/2016 6:50,6/1/2016 6:55,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24441,Subscriber,1980,1
354,6/1/2016 6:51,6/1/2016 6:57,3211,Newark Ave,40.72152515,-74.04630454,3183,Exchange Place,40.7162469,-74.0334588,24517,Subscriber,1981,2
500,6/1/2016 6:51,6/1/2016 6:59,3199,Newport Pkwy,40.7287448,-74.0321082,3211,Newark Ave,40.72152515,-74.04630454,24678,Subscriber,1991,2
300,6/1/2016 6:53,6/1/2016 6:58,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24658,Subscriber,1982,2
361,6/1/2016 6:54,6/1/2016 7:00,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24654,Subscriber,1989,2
1077,6/1/2016 6:55,6/1/2016 7:13,3198,Heights Elevator,40.74871595,-74.0404433,3183,Exchange Place,40.7162469,-74.0334588,24450,Subscriber,1975,1
147,6/1/2016 6:55,6/1/2016 6:57,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24598,Subscriber,1980,1
310,6/1/2016 7:00,6/1/2016 7:05,3209,Brunswick St,40.7241765,-74.0506564,3205,JC Medical Center,40.71653978,-74.04963791,24668,Subscriber,1984,1
114,6/1/2016 7:04,6/1/2016 7:06,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24429,Subscriber,1983,1
774,6/1/2016 7:06,6/1/2016 7:19,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24482,Subscriber,1991,1
241,6/1/2016 7:06,6/1/2016 7:10,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24602,Subscriber,1989,1
722,6/1/2016 7:07,6/1/2016 7:19,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24491,Subscriber,1988,1
410,6/1/2016 7:07,6/1/2016 7:14,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24414,Subscriber,1986,1
225,6/1/2016 7:08,6/1/2016 7:12,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24615,Subscriber,1988,2
623,6/1/2016 7:08,6/1/2016 7:19,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24596,Subscriber,1978,2
226,6/1/2016 7:09,6/1/2016 7:12,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,24495,Subscriber,1988,1
240,6/1/2016 7:09,6/1/2016 7:13,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24425,Subscriber,1979,1
1087,6/1/2016 7:10,6/1/2016 7:28,3210,Pershing Field,40.74267714,-74.05178863,3183,Exchange Place,40.7162469,-74.0334588,24607,Subscriber,1984,1
153,6/1/2016 7:11,6/1/2016 7:14,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24668,Subscriber,1985,1
331,6/1/2016 7:11,6/1/2016 7:17,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24415,Subscriber,1987,1
305,6/1/2016 7:12,6/1/2016 7:17,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24417,Subscriber,1986,1
949,6/1/2016 7:12,6/1/2016 7:28,3192,Liberty Light Rail,40.7112423,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,24724,Subscriber,1976,1
223,6/1/2016 7:13,6/1/2016 7:16,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24419,Subscriber,1976,1
150,6/1/2016 7:13,6/1/2016 7:16,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24632,Subscriber,1984,1
468,6/1/2016 7:14,6/1/2016 7:22,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24471,Subscriber,1956,1
308,6/1/2016 7:15,6/1/2016 7:20,3186,Grove St PATH,40.71958612,-74.04311746,3184,Paulus Hook,40.7141454,-74.0335519,24602,Subscriber,1988,1
591,6/1/2016 7:15,6/1/2016 7:25,3220,5 Corners Library,40.73496102,-74.05950308,3186,Grove St PATH,40.71958612,-74.04311746,24617,Subscriber,1989,1
272,6/1/2016 7:15,6/1/2016 7:20,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24715,Subscriber,1969,1
64,6/1/2016 7:16,6/1/2016 7:17,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,24720,Subscriber,1975,2
742,6/1/2016 7:16,6/1/2016 7:28,3201,Dey St,40.737711,-74.066921,3202,Newport PATH,40.7272235,-74.0337589,24529,Subscriber,1975,1
206,6/1/2016 7:17,6/1/2016 7:20,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,24688,Subscriber,1978,1
349,6/1/2016 7:19,6/1/2016 7:25,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24624,Subscriber,1985,1
240,6/1/2016 7:20,6/1/2016 7:24,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24525,Subscriber,1989,1
338,6/1/2016 7:20,6/1/2016 7:26,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24518,Subscriber,1975,1
247,6/1/2016 7:20,6/1/2016 7:25,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24465,Subscriber,1987,2
203,6/1/2016 7:22,6/1/2016 7:25,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24720,Subscriber,1976,2
1389,6/1/2016 7:22,6/1/2016 7:45,3215,Central Ave,40.7467299,-74.0492509,3214,Essex Light Rail,40.7127742,-74.0364857,24387,Subscriber,1962,1
300,6/1/2016 7:22,6/1/2016 7:27,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24717,Subscriber,1966,1
405,6/1/2016 7:22,6/1/2016 7:29,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24532,Subscriber,1971,2
533,6/1/2016 7:23,6/1/2016 7:32,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24672,Subscriber,1988,1
234,6/1/2016 7:23,6/1/2016 7:27,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24663,Subscriber,1967,1
318,6/1/2016 7:28,6/1/2016 7:33,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24711,Subscriber,1991,2
312,6/1/2016 7:28,6/1/2016 7:33,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24416,Subscriber,1991,1
568,6/1/2016 7:28,6/1/2016 7:37,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24600,Subscriber,1959,1
244,6/1/2016 7:29,6/1/2016 7:33,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24485,Subscriber,1975,1
1568,6/1/2016 7:29,6/1/2016 7:55,3193,Lincoln Park,40.7246051,-74.07840595,3202,Newport PATH,40.7272235,-74.0337589,24408,Subscriber,1991,2
287,6/1/2016 7:31,6/1/2016 7:36,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24694,Subscriber,1982,1
157,6/1/2016 7:31,6/1/2016 7:34,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24388,Subscriber,1968,1
219,6/1/2016 7:32,6/1/2016 7:35,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24649,Subscriber,1984,2
