tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
365,11/1/2016 0:00,11/1/2016 0:06,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,26217,Subscriber,1985,1
349,11/1/2016 0:05,11/1/2016 0:11,3220,5 Corners Library,40.73496102,-74.05950308,3210,Pershing Field,40.74267714,-74.05178863,24623,Subscriber,1978,2
2701,11/1/2016 0:05,11/1/2016 0:50,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,26314,Subscriber,1975,1
313,11/1/2016 0:10,11/1/2016 0:16,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,22064,Subscriber,1991,1
379,11/1/2016 0:19,11/1/2016 0:25,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24456,Subscriber,1986,1
487,11/1/2016 0:52,11/1/2016 1:00,3194,McGinley Square,40.72533993,-74.06762213,3191,Union St,40.7182113,-74.0836394,24722,Subscriber,1954,1
627,11/1/2016 1:27,11/1/2016 1:37,3194,McGinley Square,40.72533993,-74.06762213,3189,West Side Light Rail,40.714402,-74.0887723,26261,Subscriber,1962,1
1024,11/1/2016 3:48,11/1/2016 4:05,3217,Bayside Park,40.69865054,-74.08207968,3186,Grove St PATH,40.71958612,-74.04311746,24664,Subscriber,1983,1
215,11/1/2016 4:08,11/1/2016 4:11,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.0506564,24472,Subscriber,1964,2
127,11/1/2016 4:11,11/1/2016 4:13,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,22064,Subscriber,1989,1
173,11/1/2016 4:41,11/1/2016 4:44,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26217,Subscriber,1983,1
136,11/1/2016 4:59,11/1/2016 5:01,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24645,Subscriber,1987,1
161,11/1/2016 5:07,11/1/2016 5:10,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24645,Subscriber,1987,1
460,11/1/2016 5:08,11/1/2016 5:15,3211,Newark Ave,40.72152515,-74.04630454,3202,Newport PATH,40.7272235,-74.0337589,24386,Subscriber,1964,1
234,11/1/2016 5:20,11/1/2016 5:24,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,26280,Subscriber,1985,1
158,11/1/2016 5:21,11/1/2016 5:24,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24487,Subscriber,1980,1
155,11/1/2016 5:22,11/1/2016 5:24,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,26266,Subscriber,1980,1
298,11/1/2016 5:28,11/1/2016 5:33,3214,Essex Light Rail,40.7127742,-74.0364857,3187,Warren St,40.7211236,-74.03805095,26209,Subscriber,1963,1
443,11/1/2016 5:30,11/1/2016 5:37,3278,Monmouth and 6th,40.72568548,-74.04879034,3183,Exchange Place,40.7162469,-74.0334588,24476,Subscriber,1974,1
1128,11/1/2016 5:31,11/1/2016 5:50,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,26263,Subscriber,1984,2
369,11/1/2016 5:32,11/1/2016 5:38,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24456,Subscriber,1970,1
418,11/1/2016 5:39,11/1/2016 5:46,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,24665,Subscriber,1986,1
162,11/1/2016 5:51,11/1/2016 5:53,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,24530,Subscriber,1961,1
252,11/1/2016 5:53,11/1/2016 5:57,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,24685,Subscriber,1989,2
643,11/1/2016 5:56,11/1/2016 6:07,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26223,Subscriber,1974,1
195,11/1/2016 6:00,11/1/2016 6:04,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,26232,Subscriber,1976,1
208,11/1/2016 6:05,11/1/2016 6:09,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24671,Subscriber,1976,1
789,11/1/2016 6:06,11/1/2016 6:19,3194,McGinley Square,40.72533993,-74.06762213,3183,Exchange Place,40.7162469,-74.0334588,26179,Subscriber,1979,1
140,11/1/2016 6:06,11/1/2016 6:09,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24673,Subscriber,1985,1
317,11/1/2016 6:07,11/1/2016 6:12,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24707,Subscriber,1977,1
331,11/1/2016 6:07,11/1/2016 6:13,3276,Marin Light Rail,40.71458404,-74.04281706,3273,Manila & 1st,40.72165072,-74.04288411,24485,Subscriber,1989,2
363,11/1/2016 6:11,11/1/2016 6:17,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24471,Subscriber,1958,1
174,11/1/2016 6:12,11/1/2016 6:15,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26279,Subscriber,1973,1
156,11/1/2016 6:18,11/1/2016 6:20,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,24669,Subscriber,1982,1
195,11/1/2016 6:20,11/1/2016 6:23,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24390,Subscriber,1991,1
263,11/1/2016 6:20,11/1/2016 6:24,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26225,Subscriber,1980,1
255,11/1/2016 6:20,11/1/2016 6:25,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24707,Subscriber,1981,1
277,11/1/2016 6:23,11/1/2016 6:27,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24617,Subscriber,1983,1
129,11/1/2016 6:23,11/1/2016 6:25,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,26158,Subscriber,1963,1
404,11/1/2016 6:26,11/1/2016 6:32,3267,Morris Canal,40.71241882,-74.03852552,3202,Newport PATH,40.7272235,-74.0337589,24563,Subscriber,1979,2
1142,11/1/2016 6:27,11/1/2016 6:46,3185,City Hall,40.7177325,-74.043845,3210,Pershing Field,40.74267714,-74.05178863,26263,Subscriber,1983,1
277,11/1/2016 6:32,11/1/2016 6:37,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24498,Subscriber,1978,1
162,11/1/2016 6:33,11/1/2016 6:35,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,24590,Subscriber,1984,1
226,11/1/2016 6:33,11/1/2016 6:37,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24488,Subscriber,1989,2
344,11/1/2016 6:33,11/1/2016 6:39,3187,Warren St,40.7211236,-74.03805095,3214,Essex Light Rail,40.7127742,-74.0364857,26209,Subscriber,1963,1
220,11/1/2016 6:35,11/1/2016 6:39,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24712,Subscriber,1977,1
352,11/1/2016 6:36,11/1/2016 6:42,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24392,Subscriber,1980,1
382,11/1/2016 6:36,11/1/2016 6:42,3281,Leonard Gordon Park,40.74590997,-74.05727148,3195,Sip Ave,40.73074263,-74.06378388,24679,Subscriber,1980,1
159,11/1/2016 6:41,11/1/2016 6:44,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24606,Subscriber,1977,2
218,11/1/2016 6:43,11/1/2016 6:47,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,24515,Subscriber,1987,2
831,11/1/2016 6:45,11/1/2016 6:59,3210,Pershing Field,40.74267714,-74.05178863,3203,Hamilton Park,40.72759597,-74.04424731,26231,Subscriber,1964,2
269,11/1/2016 6:45,11/1/2016 6:50,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24397,Subscriber,1967,1
