tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
326,3/1/2016 0:00,3/1/2016 0:05,3194,McGinley Square,40.72533993,-74.06762213,3194,McGinley Square,40.72533993,-74.06762213,24678,Subscriber,1987,1
168,3/1/2016 0:02,3/1/2016 0:05,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24691,Subscriber,1970,1
133,3/1/2016 0:38,3/1/2016 0:40,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24466,Subscriber,1982,1
473,3/1/2016 3:28,3/1/2016 3:36,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24414,Subscriber,1964,1
246,3/1/2016 4:38,3/1/2016 4:42,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24675,Subscriber,1985,1
470,3/1/2016 5:08,3/1/2016 5:15,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24441,Subscriber,1958,1
614,3/1/2016 5:25,3/1/2016 5:35,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24394,Subscriber,1982,2
569,3/1/2016 5:38,3/1/2016 5:48,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24421,Subscriber,1967,1
618,3/1/2016 5:38,3/1/2016 5:49,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24476,Subscriber,1984,2
328,3/1/2016 5:53,3/1/2016 5:59,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,24587,Subscriber,1974,1
198,3/1/2016 5:53,3/1/2016 5:57,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24644,Subscriber,1986,2
815,3/1/2016 5:57,3/1/2016 6:10,3210,Pershing Field,40.74267714,-74.05178863,3186,Grove St PATH,40.71958612,-74.04311746,24510,Subscriber,1968,1
133,3/1/2016 6:11,3/1/2016 6:13,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24571,Subscriber,1973,1
246,3/1/2016 6:13,3/1/2016 6:17,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,22537,Subscriber,1975,1
