tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2084,4/1/2016 0:16,4/1/2016 0:50,3203,Hamilton Park,40.72759597,-74.04424731,3209,Brunswick St,40.7241765,-74.0506564,24500,Subscriber,1979,1
324,4/1/2016 0:32,4/1/2016 0:38,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24475,Subscriber,1954,1
387,4/1/2016 2:00,4/1/2016 2:07,3220,5 Corners Library,40.73496102,-74.05950308,3215,Central Ave,40.7467299,-74.0492509,24503,Subscriber,1975,1
140,4/1/2016 2:11,4/1/2016 2:14,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24446,Subscriber,1981,1
142,4/1/2016 2:18,4/1/2016 2:20,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24446,Subscriber,1981,1
513,4/1/2016 2:26,4/1/2016 2:35,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,24646,Subscriber,1991,1
94,4/1/2016 3:32,4/1/2016 3:34,3211,Newark Ave,40.72152515,-74.04630454,3209,Brunswick St,40.7241765,-74.0506564,24700,Subscriber,1986,2
474,4/1/2016 4:52,4/1/2016 5:00,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24599,Subscriber,1990,1
429,4/1/2016 5:05,4/1/2016 5:12,3214,Essex Light Rail,40.7127742,-74.0364857,3211,Newark Ave,40.72152515,-74.04630454,24494,Subscriber,1974,2
260,4/1/2016 5:07,4/1/2016 5:11,3185,City Hall,40.7177325,-74.043845,3214,Essex Light Rail,40.7127742,-74.0364857,24544,Subscriber,1986,2
419,4/1/2016 5:09,4/1/2016 5:16,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24570,Subscriber,1987,1
369,4/1/2016 5:12,4/1/2016 5:18,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24718,Subscriber,1982,1
378,4/1/2016 5:18,4/1/2016 5:24,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,24644,Subscriber,1972,2
494,4/1/2016 5:30,4/1/2016 5:38,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24398,Subscriber,1967,1
