tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
204,12/1/2016 0:33,12/1/2016 0:36,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,24377,Subscriber,1989,1
606,12/1/2016 0:56,12/1/2016 1:06,3194,McGinley Square,40.72533993,-74.06762213,3189,West Side Light Rail,40.714402,-74.0887723,26273,Subscriber,1962,1
185,12/1/2016 1:14,12/1/2016 1:17,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24555,Subscriber,1977,1
504,12/1/2016 1:29,12/1/2016 1:38,3194,McGinley Square,40.72533993,-74.06762213,3191,Union St,40.7182113,-74.0836394,26186,Subscriber,1954,1
672,12/1/2016 1:47,12/1/2016 1:58,3186,Grove St PATH,40.71958612,-74.04311746,3190,Garfield Ave Station,40.71046702,-74.0700388,26170,Subscriber,1988,1
251,12/1/2016 1:51,12/1/2016 1:56,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24673,Subscriber,1986,1
376,12/1/2016 2:53,12/1/2016 2:59,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,24706,Subscriber,1988,1
143,12/1/2016 4:39,12/1/2016 4:41,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,26294,Subscriber,1983,1
439,12/1/2016 5:24,12/1/2016 5:32,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,26308,Subscriber,1967,1
802,12/1/2016 5:32,12/1/2016 5:45,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24454,Subscriber,1984,2
471,12/1/2016 5:39,12/1/2016 5:47,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24583,Subscriber,1986,1
174,12/1/2016 5:48,12/1/2016 5:51,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24695,Subscriber,1980,1
156,12/1/2016 5:53,12/1/2016 5:56,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,26164,Subscriber,1961,1
284,12/1/2016 5:53,12/1/2016 5:58,3270,Jersey & 6th St,40.72528911,-74.04557168,3185,City Hall,40.7177325,-74.043845,26157,Subscriber,1984,1
278,12/1/2016 5:55,12/1/2016 6:00,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,24613,Subscriber,1989,2
