tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
243,5/1/2016 0:04,5/1/2016 0:08,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24507,Subscriber,1964,1
118,5/1/2016 0:06,5/1/2016 0:08,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,24660,Subscriber,1967,1
2891,5/1/2016 0:13,5/1/2016 1:01,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,24687,Subscriber,1991,1
303,5/1/2016 0:19,5/1/2016 0:24,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24551,Subscriber,1966,1
93,5/1/2016 0:21,5/1/2016 0:23,3211,Newark Ave,40.72152515,-74.04630454,3213,Van Vorst Park,40.71848892,-74.04772663,14717,Subscriber,1989,1
241,5/1/2016 0:21,5/1/2016 0:25,3186,Grove St PATH,40.71958612,-74.04311746,3183,Exchange Place,40.7162469,-74.0334588,24667,Subscriber,1982,1
278,5/1/2016 0:22,5/1/2016 0:26,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24618,Subscriber,1994,1
254,5/1/2016 0:27,5/1/2016 0:32,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24532,Subscriber,1978,2
156,5/1/2016 0:28,5/1/2016 0:31,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24411,Subscriber,1990,1
324,5/1/2016 0:31,5/1/2016 0:37,3202,Newport PATH,40.7272235,-74.0337589,3187,Warren St,40.7211236,-74.03805095,24507,Subscriber,1990,1
287,5/1/2016 0:35,5/1/2016 0:40,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24517,Subscriber,1982,1
329,5/1/2016 0:41,5/1/2016 0:46,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,24453,Subscriber,1989,1
287,5/1/2016 0:52,5/1/2016 0:57,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,24583,Subscriber,1985,2
2398,5/1/2016 1:11,5/1/2016 1:51,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24647,Subscriber,1975,1
648,5/1/2016 1:30,5/1/2016 1:41,3202,Newport PATH,40.7272235,-74.0337589,3214,Essex Light Rail,40.7127742,-74.0364857,24623,Subscriber,1990,2
247,5/1/2016 1:35,5/1/2016 1:39,3214,Essex Light Rail,40.7127742,-74.0364857,3187,Warren St,40.7211236,-74.03805095,24695,Subscriber,1989,1
859,5/1/2016 2:43,5/1/2016 2:58,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24518,Subscriber,1964,1
297,5/1/2016 2:53,5/1/2016 2:58,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24432,Subscriber,1981,1
181,5/1/2016 3:44,5/1/2016 3:47,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24501,Subscriber,1991,1
222,5/1/2016 3:52,5/1/2016 3:55,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24481,Subscriber,1992,1
366,5/1/2016 4:51,5/1/2016 4:57,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24666,Subscriber,1987,1
1522,5/1/2016 5:06,5/1/2016 5:32,3220,5 Corners Library,40.73496102,-74.05950308,3220,5 Corners Library,40.73496102,-74.05950308,24439,Customer,,0
1494,5/1/2016 5:07,5/1/2016 5:32,3220,5 Corners Library,40.73496102,-74.05950308,3220,5 Corners Library,40.73496102,-74.05950308,24559,Customer,,0
326,5/1/2016 5:42,5/1/2016 5:48,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24499,Subscriber,1977,1
622,5/1/2016 6:04,5/1/2016 6:14,3200,MLK Light Rail,40.7111305,-74.0788855,3195,Sip Ave,40.73074263,-74.06378388,24678,Customer,,0
618,5/1/2016 6:17,5/1/2016 6:27,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24587,Subscriber,1983,1
349,5/1/2016 6:24,5/1/2016 6:30,3202,Newport PATH,40.7272235,-74.0337589,3211,Newark Ave,40.72152515,-74.04630454,24453,Subscriber,1989,1
439,5/1/2016 6:32,5/1/2016 6:39,3202,Newport PATH,40.7272235,-74.0337589,3211,Newark Ave,40.72152515,-74.04630454,24598,Subscriber,1989,1
206,5/1/2016 6:32,5/1/2016 6:35,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24603,Subscriber,1989,1
431,5/1/2016 6:41,5/1/2016 6:48,3202,Newport PATH,40.7272235,-74.0337589,3211,Newark Ave,40.72152515,-74.04630454,24403,Subscriber,1989,1
247,5/1/2016 7:10,5/1/2016 7:14,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24603,Subscriber,1968,1
516,5/1/2016 7:17,5/1/2016 7:26,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24532,Customer,,0
118,5/1/2016 7:31,5/1/2016 7:33,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,14717,Subscriber,1968,1
179,5/1/2016 7:36,5/1/2016 7:39,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24646,Subscriber,1985,1
497,5/1/2016 7:49,5/1/2016 7:58,3202,Newport PATH,40.7272235,-74.0337589,3211,Newark Ave,40.72152515,-74.04630454,24449,Subscriber,1977,1
193,5/1/2016 8:06,5/1/2016 8:09,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24607,Subscriber,1984,1
495,5/1/2016 8:11,5/1/2016 8:19,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24574,Subscriber,1991,1
143,5/1/2016 8:13,5/1/2016 8:15,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24411,Subscriber,1990,1
372,5/1/2016 8:16,5/1/2016 8:22,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24499,Subscriber,1983,1
295,5/1/2016 8:18,5/1/2016 8:23,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,24651,Subscriber,1971,1
560,5/1/2016 8:29,5/1/2016 8:39,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24668,Subscriber,1959,2
307,5/1/2016 8:30,5/1/2016 8:35,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24377,Subscriber,1951,1
214,5/1/2016 8:45,5/1/2016 8:49,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24646,Subscriber,1976,1
